127.0.0.1, 2013-12-20 16:31:19, GET, /rxncon/appadmin/index, HTTP/1.1, 200, 0.301714
127.0.0.1, 2013-12-20 16:31:24, GET, /admin/default/site, HTTP/1.1, 200, 0.081222
127.0.0.1, 2013-12-20 16:31:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000315
127.0.0.1, 2013-12-20 16:31:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000316
127.0.0.1, 2013-12-20 16:31:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000315
127.0.0.1, 2014-01-02 15:37:17, GET, /admin/default/site, HTTP/1.1, 303, 1.043087
127.0.0.1, 2014-01-02 15:37:18, GET, /admin/default/index, HTTP/1.1, 200, 0.441206
127.0.0.1, 2014-01-02 15:37:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000338
127.0.0.1, 2014-01-02 15:37:20, POST, /admin/default/index, HTTP/1.1, 303, 0.059589
127.0.0.1, 2014-01-02 15:37:21, GET, /admin/default/site, HTTP/1.1, 200, 0.097124
127.0.0.1, 2014-01-02 15:37:21, GET, /admin/static/_2.7.3/js/jquery.js, HTTP/1.1, 304, 0.008858
127.0.0.1, 2014-01-02 15:37:21, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 304, 0.002953
127.0.0.1, 2014-01-02 15:37:21, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 304, 0.002912
127.0.0.1, 2014-01-02 15:37:21, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000966
127.0.0.1, 2014-01-02 15:37:21, POST, /admin/default/check_version, HTTP/1.1, 200, 0.474063
127.0.0.1, 2014-01-02 15:37:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000326
127.0.0.1, 2014-01-02 15:37:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000291
127.0.0.1, 2014-01-02 15:37:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000294
127.0.0.1, 2014-01-02 15:37:23, GET, /rxncon/default/index, HTTP/1.1, 200, 0.556620
127.0.0.1, 2014-01-02 15:37:23, GET, /rxncon/static/js/jquery.js, HTTP/1.1, 304, 0.005165
127.0.0.1, 2014-01-02 15:37:23, GET, /rxncon/static/css/calendar.css, HTTP/1.1, 304, 0.001935
127.0.0.1, 2014-01-02 15:37:23, GET, /rxncon/static/css/web2py.css, HTTP/1.1, 304, 0.001834
127.0.0.1, 2014-01-02 15:37:23, GET, /rxncon/static/js/web2py.js, HTTP/1.1, 304, 0.002284
127.0.0.1, 2014-01-02 15:37:23, GET, /rxncon/static/js/calendar.js, HTTP/1.1, 304, 0.002373
127.0.0.1, 2014-01-02 15:37:23, GET, /rxncon/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.007251
127.0.0.1, 2014-01-02 15:37:23, GET, /rxncon/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001045
127.0.0.1, 2014-01-02 15:37:23, GET, /rxncon/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.007137
127.0.0.1, 2014-01-02 15:37:23, GET, /rxncon/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.006507
127.0.0.1, 2014-01-02 15:37:23, GET, /rxncon/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.007003
127.0.0.1, 2014-01-02 15:37:23, GET, /rxncon/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.011078
127.0.0.1, 2014-01-02 15:37:23, GET, /rxncon/static/js/share.js, HTTP/1.1, 304, 0.001206
127.0.0.1, 2014-01-02 15:37:24, GET, /rxncon/static/images/twitter.png, HTTP/1.1, 304, 0.022290
127.0.0.1, 2014-01-02 15:37:24, GET, /rxncon/static/images/gplus-32.png, HTTP/1.1, 304, 0.008340
127.0.0.1, 2014-01-02 15:37:24, GET, /rxncon/static/images/facebook.png, HTTP/1.1, 304, 0.015271
127.0.0.1, 2014-01-02 15:37:24, GET, /rxncon/static/images/favicon.ico, HTTP/1.1, 200, 0.001949
127.0.0.1, 2014-01-02 15:37:27, GET, /examples/default/index, HTTP/1.1, 200, 0.140350
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.014466
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.016634
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.002815
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001936
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.011651
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.010152
