!!SBtab SBtabVersion='1.0' Document='MODEL1507180055' TableType='Compartment' TableName='Compartment'
!ID	!Name	!Size	!Unit	!SBOTerm
c	cytosol	nan		
e	extracellular	nan		
g	Golgi	nan		
m	Mitochondria	nan		
l	l	nan		
n	Nucleus	nan		
p	periplasm	nan		
r	Endoplasmic reticulum	nan		
x	Glyoxysome	nan		

!!SBtab SBtabVersion='1.0' Document='MODEL1507180055' TableType='Compound' TableName='Compound'
!ID	!Name	!Location	!Charge	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge
M_5oxpro_c	5oxpro_c	c	0	False		nan	False		0
M_5thf_c	5thf_c	c	0	False		nan	False		0
M_6dhf_c	6dhf_c	c	0	False		nan	False		0
M_6hoxmelatn_c	6hoxmelatn_c	c	0	False		nan	False		0
M_6htststerone_c	6htststerone_c	c	0	False		nan	False		0
M_6pgc_c	6pgc_c	c	0	False		nan	False		0
M_6pgl_c	6pgl_c	c	0	False		nan	False		0
M_6pthp_c	6pthp_c	c	0	False		nan	False		0
M_6thf_c	6thf_c	c	0	False		nan	False		0
M_7dhchsterol_c	7dhchsterol_c	c	0	False		nan	False		0
M_7dhf_c	7dhf_c	c	0	False		nan	False		0
M_7thf_c	7thf_c	c	0	False		nan	False		0
M_9__cis__retfa_c	9__cis__retfa_c	c	0	False		nan	False		0
M_ACP_c	ACP_c	c	0	False		nan	False		0
M_L__dpchrm_c	L__dpchrm_c	c	0	False		nan	False		0
M_L2aadp_c	L2aadp_c	c	0	False		nan	False		0
M_L2aadp6sa_c	L2aadp6sa_c	c	0	False		nan	False		0
M_Lcyst_c	Lcyst_c	c	0	False		nan	False		0
M_Lcystin_c	Lcystin_c	c	0	False		nan	False		0
M_Lfmkynr_c	Lfmkynr_c	c	0	False		nan	False		0
M_Lkynr_c	Lkynr_c	c	0	False		nan	False		0
M_Nacasp_c	Nacasp_c	c	0	False		nan	False		0
M_Nacsertn_c	Nacsertn_c	c	0	False		nan	False		0
M_R1coa_hs_c	R1coa_hs_c	c	0	False		nan	False		0
M_R2coa_hs_c	R2coa_hs_c	c	0	False		nan	False		0
M_R3coa_hs_c	R3coa_hs_c	c	0	False		nan	False		0
M_R4coa_hs_c	R4coa_hs_c	c	0	False		nan	False		0
M_R5coa_hs_c	R5coa_hs_c	c	0	False		nan	False		0
M_R6coa_hs_c	R6coa_hs_c	c	0	False		nan	False		0
M_Rtotal_c	Rtotal_c	c	0	False		nan	False		0
M_Rtotal2_c	Rtotal2_c	c	0	False		nan	False		0
M_Rtotal2coa_c	Rtotal2coa_c	c	0	False		nan	False		0
M_Rtotal2crn_c	Rtotal2crn_c	c	0	False		nan	False		0
